Person,Activity,Hours Exercised,Calorie Burn
Alice,Running,5.0,500
Bob,Cycling,3.0,300
Charlie,Swimming,2.0,200
David,Running,4.0,450
Eva,Cycling,6.0,550
Frank,Swimming,3.5,320
Grace,Running,6.5,650
Hannah,Cycling,2.5,250
Ian,Swimming,4.5,480
Jack,Running,5.5,580
Kara,Cycling,3.2,340
Liam,Swimming,5.0,500
Mia,Running,7.0,700
Nina,Cycling,2.8,280
Oliver,Swimming,3.8,360
Paul,Running,6.0,620
Quinn,Cycling,3.5,370
Rachel,Swimming,2.5,230
Sam,Running,5.2,530
Tina,Cycling,4.0,400
Uma,Swimming,3.3,310
Violet,Running,6.8,680
William,Cycling,4.5,430
Xander,Swimming,5.5,520
Yara,Running,7.5,750
Zane,Cycling,2.0,220
